"data","region","cases","cumulative"
2022-10-07,"Emilia-Romagna",0,85
2022-10-07,"Friuli-Venezia Giulia",0,14
2022-10-07,"Lazio",1,151
2022-10-07,"Liguria",0,18
2022-10-07,"Lombardia",2,350
2022-10-07,"Marche",0,7
2022-10-07,"Molise",0,0
2022-10-07,"Piemonte",0,32
2022-10-07,"Puglia",0,21
2022-10-07,"Sardegna",0,6
2022-10-07,"Sicilia",1,13
2022-10-07,"Toscana",0,45
2022-10-07,"PA Bolzano",0,1
2022-10-07,"PA Trento",0,4
2022-10-07,"Umbria",0,0
2022-10-07,"Valle d'Aosta",0,0
2022-10-07,"Veneto",0,63
2022-10-11,"Abruzzo",0,4
2022-10-11,"Basilicata",0,0
2022-10-11,"Calabria",0,0
2022-10-11,"Campania",0,40
2022-10-11,"Emilia-Romagna",0,85
2022-10-11,"Friuli-Venezia Giulia",0,14
2022-10-11,"Lazio",0,151
2022-10-11,"Liguria",0,18
2022-10-11,"Lombardia",0,350
2022-10-11,"Marche",0,7
2022-10-11,"Molise",0,0
2022-10-11,"Piemonte",0,32
2022-10-11,"Puglia",0,21
2022-10-11,"Sardegna",0,6
2022-10-11,"Sicilia",2,15
2022-10-11,"Toscana",0,45
2022-10-11,"PA Bolzano",0,1
2022-10-11,"PA Trento",0,4
2022-10-11,"Umbria",0,0
2022-10-11,"Valle d'Aosta",0,0
2022-10-11,"Veneto",0,63
2022-10-14,"Abruzzo",0,4
2022-10-14,"Basilicata",0,0
2022-10-14,"Calabria",0,0
2022-10-14,"Campania",6,46
2022-10-14,"Emilia-Romagna",3,88
2022-10-14,"Friuli-Venezia Giulia",0,14
2022-10-14,"Lazio",1,152
2022-10-14,"Liguria",8,26
2022-10-14,"Lombardia",4,354
2022-10-14,"Marche",0,7
2022-10-14,"Molise",0,0
2022-10-14,"Piemonte",1,33
2022-10-14,"Puglia",0,21
2022-10-14,"Sardegna",0,6
2022-10-14,"Sicilia",0,15
2022-10-14,"Toscana",2,47
2022-10-14,"PA Bolzano",0,1
2022-10-14,"PA Trento",0,4
2022-10-14,"Umbria",0,0
2022-10-14,"Valle d'Aosta",0,0
2022-10-14,"Veneto",0,63
2022-10-18,"Abruzzo",0,4
2022-10-18,"Basilicata",0,0
2022-10-18,"Calabria",0,0
2022-10-18,"Campania",0,46
2022-10-18,"Emilia-Romagna",1,89
2022-10-18,"Friuli-Venezia Giulia",0,14
2022-10-18,"Lazio",2,154
2022-10-18,"Liguria",0,26
2022-10-18,"Lombardia",2,356
2022-10-18,"Marche",0,7
2022-10-18,"Molise",0,0
2022-10-18,"Piemonte",0,33
2022-10-18,"Puglia",0,21
2022-10-18,"Sardegna",0,6
2022-10-18,"Sicilia",0,15
2022-10-18,"Toscana",0,47
2022-10-18,"PA Bolzano",0,1
2022-10-18,"PA Trento",0,4
2022-10-18,"Umbria",0,0
2022-10-18,"Valle d'Aosta",0,0
2022-10-18,"Veneto",2,65
2022-10-21,"Abruzzo",0,4
2022-10-21,"Basilicata",0,0
2022-10-21,"Calabria",0,0
2022-10-21,"Campania",0,46
2022-10-21,"Emilia-Romagna",0,89
2022-10-21,"Friuli-Venezia Giulia",0,14
2022-10-21,"Lazio",1,155
2022-10-21,"Liguria",0,26
2022-10-21,"Lombardia",1,357
2022-10-21,"Marche",0,7
2022-10-21,"Molise",0,0
2022-10-21,"Piemonte",0,33
2022-10-21,"Puglia",0,21
2022-10-21,"Sardegna",0,6
2022-10-21,"Sicilia",0,15
2022-10-21,"Toscana",0,47
2022-10-21,"PA Bolzano",0,1
2022-10-21,"PA Trento",0,4
2022-10-21,"Umbria",0,0
2022-10-21,"Valle d'Aosta",0,0
